survey_year,mean_oni_anom,mean_pdo_anom,oni_lag_1,oni_lag_2,oni_lag_3,oni_lag_4,oni_lag_5,pdo_lag_1,pdo_lag_2,pdo_lag_3,pdo_lag_4,pdo_lag_5
2005,0.04166666666666667,0.018333333333333333,0.445,0.23249999999999998,0.66,-0.31083333333333335,-0.845,-0.033333333333333326,0.12416666666666668,-0.8566666666666667,-0.7208333333333333,-0.9933333333333334
2006,0.08749999999999998,-0.5166666666666666,0.04166666666666667,0.445,0.23249999999999998,0.66,-0.31083333333333335,0.018333333333333333,-0.033333333333333326,0.12416666666666668,-0.8566666666666667,-0.7208333333333333
2007,-0.6175,-0.9416666666666667,0.08749999999999998,0.04166666666666667,0.445,0.23249999999999998,0.66,-0.5166666666666666,0.018333333333333333,-0.033333333333333326,0.12416666666666668,-0.8566666666666667
2008,-0.7841666666666667,-1.5,-0.6175,0.08749999999999998,0.04166666666666667,0.445,0.23249999999999998,-0.9416666666666667,-0.5166666666666666,0.018333333333333333,-0.033333333333333326,0.12416666666666668
2009,0.28583333333333333,-1.935,-0.7841666666666667,-0.6175,0.08749999999999998,0.04166666666666667,0.445,-1.5,-0.9416666666666667,-0.5166666666666666,0.018333333333333333,-0.033333333333333326
2010,-0.48666666666666664,-1.2475,0.28583333333333333,-0.7841666666666667,-0.6175,0.08749999999999998,0.04166666666666667,-1.935,-1.5,-0.9416666666666667,-0.5166666666666666,0.018333333333333333
2011,-0.8641666666666666,-1.4558333333333333,-0.48666666666666664,0.28583333333333333,-0.7841666666666667,-0.6175,0.08749999999999998,-1.2475,-1.935,-1.5,-0.9416666666666667,-0.5166666666666666
2012,-0.14,-1.8833333333333333,-0.8641666666666666,-0.48666666666666664,0.28583333333333333,-0.7841666666666667,-0.6175,-1.4558333333333333,-1.2475,-1.935,-1.5,-0.9416666666666667
2013,-0.31916666666666665,-1.53,-0.14,-0.8641666666666666,-0.48666666666666664,0.28583333333333333,-0.7841666666666667,-1.8833333333333333,-1.4558333333333333,-1.2475,-1.935,-1.5
2014,0.11416666666666667,-0.25083333333333335,-0.31916666666666665,-0.14,-0.8641666666666666,-0.48666666666666664,0.28583333333333333,-1.53,-1.8833333333333333,-1.4558333333333333,-1.2475,-1.935
2015,1.4575,0.2891666666666667,0.11416666666666667,-0.31916666666666665,-0.14,-0.8641666666666666,-0.48666666666666664,-0.25083333333333335,-1.53,-1.8833333333333333,-1.4558333333333333,-1.2475
2016,0.33083333333333337,0.12333333333333334,1.4575,0.11416666666666667,-0.31916666666666665,-0.14,-0.8641666666666666,0.2891666666666667,-0.25083333333333335,-1.53,-1.8833333333333333,-1.4558333333333333
2017,-0.2025,-0.23166666666666666,0.33083333333333337,1.4575,0.11416666666666667,-0.31916666666666665,-0.14,0.12333333333333334,0.2891666666666667,-0.25083333333333335,-1.53,-1.8833333333333333
2018,0.012499999999999995,-0.8691666666666666,-0.2025,0.33083333333333337,1.4575,0.11416666666666667,-0.31916666666666665,-0.23166666666666666,0.12333333333333334,0.2891666666666667,-0.25083333333333335,-1.53
2019,0.4775,-0.9241666666666667,0.012499999999999995,-0.2025,0.33083333333333337,1.4575,0.11416666666666667,-0.8691666666666666,-0.23166666666666666,0.12333333333333334,0.2891666666666667,-0.25083333333333335
2020,-0.36166666666666664,NA,0.4775,0.012499999999999995,-0.2025,0.33083333333333337,1.4575,-0.9241666666666667,-0.8691666666666666,-0.23166666666666666,0.12333333333333334,0.2891666666666667
2021,-0.6836363636363636,-2.069090909090909,-0.36166666666666664,0.4775,0.012499999999999995,-0.2025,0.33083333333333337,NA,-0.9241666666666667,-0.8691666666666666,-0.23166666666666666,0.12333333333333334
